Total population,Gross rent as a percentage of household income,Median household income (dollars),Percent below poverty line,STATE,zipcode
5234.0,353.0,44231.0,10.9,37,28018
2354.0,91.0,47667.0,12.9,37,28020
54425.0,6102.0,55443.0,9.2,37,28025
1527.0,191.0,48571.0,5.6,37,28072
1407.0,107.0,41042.0,11.9,37,28432
5547.0,582.0,59395.0,7.4,37,28394
2046.0,140.0,55000.0,9.2,37,28395
39019.0,3411.0,74096.0,5.7,37,28411
2090.0,155.0,49189.0,6.1,37,28436
3396.0,368.0,28716.0,29.6,37,28441
23266.0,952.0,73340.0,5.2,37,28443
899.0,51.0,19954.0,41.1,37,28452
6761.0,596.0,39858.0,12.1,37,28458
9116.0,591.0,33852.0,17.8,37,28463
7561.0,585.0,62292.0,10.8,37,28479
1508.0,92.0,60208.0,8.5,37,28510
3211.0,313.0,62109.0,4.2,37,28512
2606.0,219.0,35154.0,11.6,37,28515
1610.0,54.0,43500.0,11.9,37,28421
8116.0,433.0,54685.0,10.2,37,28422
2421.0,133.0,40734.0,18.0,37,28423
2298.0,94.0,39750.0,5.1,37,28430
7196.0,811.0,66237.0,8.3,37,28445
902.0,51.0,26250.0,30.3,37,28448
1778.0,145.0,81875.0,1.9,37,28449
5235.0,360.0,55574.0,11.4,37,28468
417.0,32.0,65988.0,0.0,37,28745
3473.0,151.0,50739.0,9.6,37,28751
30924.0,3134.0,45339.0,12.1,37,28752
7504.0,296.0,58115.0,8.3,37,28768
19952.0,3416.0,51440.0,4.0,37,28805
19701.0,1638.0,43825.0,11.2,37,28906
467.0,74.0,18950.0,40.3,37,28077
6078.0,502.0,54505.0,5.8,37,28097
11281.0,775.0,61532.0,2.2,37,28103
46180.0,4842.0,78620.0,3.6,37,28105
53733.0,4773.0,62279.0,10.4,37,28110
5946.0,304.0,68825.0,4.1,37,28124
51766.0,7929.0,22790.0,34.9,42,19140
1958.0,274.0,55250.0,4.5,42,17009
17751.0,2539.0,72219.0,3.0,42,17033
20986.0,2891.0,48832.0,10.4,42,17044
244.0,11.0,63750.0,3.2,42,17829
803.0,12.0,47833.0,5.9,42,17832
415.0,51.0,71667.0,0.0,42,17835
2170.0,132.0,54766.0,10.8,42,17845
169.0,4.0,89167.0,0.0,42,17861
10297.0,745.0,37352.0,16.7,42,17866
1554.0,172.0,58913.0,13.3,42,17929
815.0,41.0,55179.0,11.8,42,17002
339.0,32.0,55139.0,7.5,42,17005
1105.0,50.0,52778.0,8.3,42,17006
9147.0,780.0,66295.0,5.3,42,17020
934.0,50.0,51948.0,8.1,42,17035
2654.0,182.0,55227.0,6.5,42,17047
7188.0,820.0,55114.0,6.4,42,17061
3782.0,363.0,56118.0,7.5,42,17065
2739.0,110.0,68571.0,3.8,42,17087
20208.0,4417.0,38115.0,27.7,42,17104
627.0,20.0,49028.0,11.0,42,17213
819.0,147.0,39154.0,0.0,42,17214
286.0,19.0,64219.0,2.6,42,17215
11576.0,850.0,64897.0,4.8,42,17222
20844.0,1602.0,74440.0,2.5,42,17225
2431.0,213.0,65066.0,3.3,42,17302
11083.0,691.0,72656.0,2.9,42,17340
259.0,42.0,67188.0,4.8,42,17355
40216.0,5141.0,53852.0,14.7,42,17403
4469.0,222.0,71477.0,1.3,42,17516
6669.0,386.0,89358.0,4.0,42,17538
7877.0,1137.0,65338.0,5.9,42,17554
14668.0,1576.0,61142.0,4.8,42,17557
2675.0,54.0,86726.0,2.1,42,17565
5834.0,195.0,84013.0,2.7,42,17569
52552.0,5728.0,74925.0,4.2,42,17601
50417.0,8340.0,56381.0,13.6,42,17602
1579.0,135.0,45741.0,7.0,42,17721
32.0,0.0,76250.0,0.0,42,17739
981.0,28.0,50526.0,4.2,42,17758
5803.0,103.0,56125.0,8.3,42,17810
1258.0,82.0,60568.0,6.6,42,17823
227.0,0.0,45382.0,70.8,42,17887
7321.0,613.0,51090.0,3.0,42,17921
438.0,44.0,60048.0,7.9,42,17923
135.0,13.0,118864.0,0.0,42,17933
1595.0,145.0,34330.0,25.4,42,17935
1362.0,138.0,51750.0,9.5,42,17959
4114.0,122.0,67708.0,3.7,42,17960
11308.0,962.0,61206.0,1.9,42,17972
1989.0,179.0,48750.0,8.9,42,17965
286.0,39.0,39306.0,22.8,42,17978
5616.0,465.0,57978.0,8.3,42,17820
264.0,12.0,50694.0,0.0,42,17776
1258.0,148.0,43542.0,10.1,42,17812
193.0,35.0,46875.0,21.2,42,17311
6304.0,270.0,77015.0,5.9,42,17314
17576.0,2330.0,101859.0,4.7,11,20012
5645.0,279.0,59650.0,5.8,42,17090
667.0,31.0,57656.0,6.7,42,17265
3703.0,137.0,56890.0,4.7,42,17028
15389.0,1128.0,62529.0,6.1,42,17067
1154.0,57.0,55833.0,7.2,42,17228
1630.0,383.0,39120.0,45.4,42,17886
801.0,42.0,48289.0,9.4,42,17964
577.0,57.0,42813.0,6.0,42,17221
7590.0,525.0,77593.0,5.3,42,17327
4822.0,304.0,68788.0,10.8,42,17509
469.0,38.0,60000.0,3.1,42,17762
2633.0,35.0,71853.0,3.7,42,17860
2294.0,236.0,35268.0,22.4,42,17764
4899.0,251.0,54194.0,7.1,42,17814
1913.0,110.0,58854.0,6.9,42,17830
2308.0,128.0,70701.0,6.2,42,17938
1204.0,71.0,58563.0,2.4,42,17985
2996.0,241.0,51859.0,4.7,42,17744
1135.0,52.0,65197.0,0.0,42,17868
3037.0,206.0,60184.0,6.1,42,17980
20923.0,829.0,79137.0,2.0,42,17015
859.0,62.0,60714.0,11.9,42,17030
38141.0,3597.0,93552.0,3.1,42,17050
121.0,4.0,66250.0,3.1,42,17071
29278.0,2192.0,78385.0,6.5,42,17202
220.0,11.0,69000.0,8.7,42,17217
216.0,10.0,71250.0,9.6,42,17246
501.0,207.0,41417.0,0.0,42,17247
111.0,11.0,84500.0,0.0,42,17251
573.0,15.0,65515.0,8.3,42,17263
216.0,18.0,74792.0,7.9,42,17371
23778.0,2242.0,69728.0,2.8,42,17408
50.0,6.0,38594.0,0.0,42,17723
74.0,0.0,44375.0,0.0,42,17727
1919.0,326.0,47946.0,6.3,42,17876
128.0,30.0,54375.0,12.5,42,17880
29374.0,3624.0,58568.0,8.1,42,17268
259.0,8.0,46625.0,19.4,42,17271
2427.0,241.0,49583.0,5.8,42,17094
7434.0,2623.0,44863.0,11.0,42,17102
233.0,33.0,38750.0,12.9,42,17223
1743.0,59.0,65750.0,2.4,42,17224
7939.0,587.0,66098.0,2.9,42,17236
4001.0,231.0,68281.0,2.9,42,17240
6911.0,984.0,109111.0,0.0,42,19333
17572.0,2687.0,103203.0,2.0,42,19341
11988.0,1097.0,66009.0,3.8,42,19344
11424.0,297.0,139049.0,1.1,42,19350
46592.0,4832.0,86787.0,3.5,42,19403
175.0,0.0,131331.0,0.0,42,19435
8347.0,556.0,53255.0,15.3,42,19137
17660.0,2158.0,103212.0,3.2,42,19046
34479.0,3376.0,93547.0,2.3,42,19047
35764.0,4263.0,101599.0,1.4,42,19063
7632.0,361.0,104928.0,0.7,42,19075
6555.0,855.0,60694.0,11.8,42,19076
16809.0,1578.0,63815.0,9.2,42,19015
11792.0,1209.0,71997.0,5.6,42,19030
31415.0,1637.0,97415.0,3.3,42,19038
1100.0,21.0,95460.0,0.0,10,19730
9887.0,2458.0,77591.0,4.5,10,19806
1523.0,103.0,53750.0,0.7,10,19954
6505.0,290.0,58872.0,4.3,10,19960
29324.0,1883.0,59084.0,7.2,10,19966
34741.0,4626.0,51101.0,12.8,42,19136
9923.0,608.0,93986.0,1.0,42,19081
11746.0,451.0,118320.0,2.8,42,19086
12592.0,3323.0,107388.0,0.6,42,19106
34701.0,5534.0,32388.0,25.3,42,19141
46052.0,6799.0,46540.0,17.0,42,19145
1086.0,98.0,66250.0,2.4,42,19374
1122.0,0.0,175278.0,0.0,42,19437
10890.0,1179.0,119189.0,0.6,42,19444
56720.0,7333.0,87158.0,2.5,42,19446
1732.0,198.0,61865.0,14.9,42,19453
17473.0,1368.0,89953.0,5.8,42,19465
15417.0,1896.0,76615.0,2.6,42,19610
55537.0,7290.0,80419.0,4.8,10,19702
15362.0,2856.0,59823.0,8.8,10,19703
10476.0,601.0,79907.0,0.9,42,19609
28977.0,2475.0,95128.0,2.1,42,19454
15811.0,1453.0,97635.0,3.5,42,19462
46904.0,6055.0,62956.0,9.0,42,19464
52547.0,6502.0,77188.0,5.4,10,19711
59664.0,6352.0,62879.0,8.5,10,19720
32241.0,2721.0,110041.0,2.7,42,19002
8710.0,475.0,92550.0,2.5,42,19510
7466.0,377.0,83575.0,1.7,42,19506
3211.0,133.0,69063.0,3.6,42,19507
14034.0,607.0,77885.0,4.9,42,19522
11256.0,1143.0,61161.0,5.7,42,19526
4844.0,313.0,77532.0,3.7,42,19551
396.0,49.0,51711.0,0.0,42,19554
28346.0,4111.0,38450.0,27.2,42,19604
38472.0,7447.0,81519.0,7.6,42,19147
40173.0,2989.0,88589.0,3.3,10,19701
30260.0,4011.0,58247.0,6.0,10,19713
392.0,8.0,24844.0,21.5,51,24292
16202.0,1771.0,167375.0,1.3,11,20015
47574.0,4347.0,83671.0,5.9,51,20110
29426.0,3390.0,104934.0,5.1,51,20121
15114.0,421.0,176635.0,1.6,51,20124
9350.0,234.0,137420.0,1.4,51,20181
496.0,48.0,73229.0,0.0,51,20184
26550.0,3749.0,81395.0,7.5,24,20602
31975.0,2666.0,116043.0,3.9,24,20603
374.0,8.0,97083.0,8.1,24,20606
10843.0,109.0,132690.0,1.9,24,20607
860.0,21.0,71313.0,6.5,24,20608
960.0,24.0,70278.0,7.4,24,20621
2997.0,6.0,142337.0,1.2,24,20623
1409.0,88.0,87039.0,6.4,24,20624
24274.0,4219.0,75161.0,9.1,24,20653
23312.0,762.0,95275.0,5.5,24,20659
1066.0,85.0,107500.0,0.0,24,20684
2081.0,7.0,155000.0,6.2,24,20689
1086.0,68.0,67361.0,11.9,51,20144
26437.0,1203.0,137282.0,1.9,24,20832
3187.0,223.0,82583.0,4.8,51,20135
41684.0,3160.0,100948.0,2.8,51,20164
7705.0,340.0,144792.0,2.0,51,20180
1151.0,38.0,45865.0,4.4,24,20609
832.0,0.0,106000.0,0.0,24,20617
406.0,66.0,59850.0,0.0,24,20618
10805.0,509.0,110154.0,4.7,24,20636
5751.0,205.0,123816.0,2.9,24,20637
749.0,19.0,123125.0,0.0,24,20645
7124.0,147.0,130250.0,1.3,24,20754
451.0,12.0,97361.0,0.0,24,20758
646.0,19.0,95417.0,0.0,24,20625
10873.0,2788.0,77412.0,4.7,24,20755
2855.0,258.0,95526.0,2.5,24,20860
3848.0,133.0,121307.0,2.2,24,20676
3687.0,14.0,201744.0,3.9,24,20777
7369.0,97.0,161792.0,1.5,24,20833
26140.0,5319.0,73052.0,9.3,24,20912
28036.0,5000.0,38182.0,15.4,51,24501
1775.0,0.0,79475.0,0.0,24,20686
295.0,177.0,35435.0,0.0,24,20899
32798.0,4935.0,82367.0,6.1,24,20707
52908.0,5843.0,94360.0,6.5,24,20902
7413.0,156.0,83136.0,7.6,24,20711
24560.0,5149.0,70867.0,7.4,24,20770
12603.0,543.0,119276.0,3.6,24,20872
1441.0,332.0,53836.0,5.7,24,20670
22971.0,557.0,140322.0,1.7,24,20720
18662.0,445.0,130071.0,5.2,24,20905
29905.0,2250.0,89750.0,3.9,24,21009
6983.0,1039.0,78821.0,3.9,24,21017
2783.0,56.0,108872.0,0.6,24,21028
8084.0,355.0,125616.0,4.5,24,21032
2112.0,35.0,177583.0,0.0,24,21036
44256.0,7072.0,106533.0,6.2,24,21044
10276.0,221.0,111684.0,1.9,24,21048
156.0,43.0,80926.0,0.0,24,21130
27555.0,842.0,148936.0,2.7,24,21146
5804.0,106.0,95699.0,3.3,24,21154
2933.0,190.0,71250.0,16.1,24,21160
28309.0,4292.0,83202.0,5.5,24,21209
33431.0,3801.0,79832.0,7.7,24,21212
30179.0,5028.0,40178.0,21.0,24,21216
2200.0,134.0,58625.0,2.7,24,21520
1740.0,100.0,46250.0,5.2,24,21545
1586.0,37.0,63429.0,1.1,24,21555
24752.0,3267.0,68942.0,10.6,24,21001
4768.0,27.0,144048.0,1.6,24,21013
10895.0,270.0,203000.0,0.8,24,21029
40365.0,4127.0,103932.0,5.6,24,21045
4232.0,193.0,131250.0,1.9,24,21057
34899.0,3558.0,76569.0,3.1,24,21060
1868.0,112.0,41938.0,5.7,24,21531
21600.0,882.0,127519.0,2.1,24,21012
24396.0,5344.0,71256.0,4.9,24,21030
15655.0,2167.0,111711.0,5.2,24,21046
158.0,0.0,150583.0,0.0,24,21056
5387.0,112.0,132679.0,1.2,24,21111
61051.0,2915.0,98845.0,4.8,24,21122
5601.0,138.0,109194.0,2.4,24,21161
7030.0,281.0,126875.0,3.7,24,21163
52020.0,7770.0,54319.0,10.5,24,21206
286.0,47.0,61250.0,0.0,51,24432
889.0,45.0,45000.0,4.7,51,24473
865.0,32.0,23472.0,32.9,51,24237
582.0,48.0,55703.0,12.6,51,24483
333.0,0.0,52917.0,0.0,51,24485
19349.0,2067.0,75353.0,3.9,51,24503
2245.0,254.0,39318.0,6.5,51,24555
5290.0,730.0,44015.0,6.5,51,24563
815.0,48.0,32500.0,23.5,51,24565
938.0,26.0,50882.0,13.1,51,24569
5819.0,465.0,48388.0,12.8,51,24586
1239.0,61.0,54028.0,4.1,51,24465
16605.0,2442.0,60403.0,8.8,51,24014
5046.0,120.0,71553.0,2.9,51,24064
6098.0,271.0,68407.0,0.7,51,24065
2139.0,45.0,42700.0,11.9,51,24085
468.0,0.0,43780.0,0.0,51,24105
38341.0,4855.0,69989.0,3.8,51,24018
853.0,12.0,76938.0,0.0,51,24059
1029.0,58.0,54766.0,0.0,51,24072
30710.0,4180.0,60039.0,6.6,51,24073
5472.0,166.0,46287.0,8.2,51,24088
1552.0,68.0,40046.0,7.2,51,24102
11145.0,447.0,68125.0,5.2,51,24121
4785.0,400.0,48583.0,7.9,51,24124
1618.0,44.0,82569.0,10.5,51,24138
2381.0,389.0,57371.0,1.8,51,24162
18258.0,2160.0,53254.0,7.6,51,24179
8092.0,928.0,39811.0,20.2,51,24230
2646.0,160.0,40333.0,17.3,51,24053
769.0,102.0,50634.0,6.7,51,24077
5028.0,241.0,86625.0,6.9,51,24090
7739.0,703.0,52962.0,3.8,51,24091
19711.0,1857.0,51632.0,10.2,51,24523
8818.0,640.0,51491.0,11.4,51,24531
7272.0,534.0,60321.0,6.0,51,24550
7696.0,620.0,38604.0,16.8,51,24557
4720.0,260.0,33416.0,16.7,51,24577
7779.0,777.0,58511.0,5.9,51,24590
1677.0,126.0,64491.0,13.5,51,24598
670.0,37.0,36250.0,13.1,51,24602
766.0,16.0,26179.0,29.8,51,24603
839.0,85.0,28365.0,19.9,51,24622
2264.0,120.0,39231.0,15.6,54,24712
1214.0,35.0,41797.0,25.3,54,24818
823.0,34.0,53225.0,3.8,54,24822
1178.0,28.0,16512.0,42.5,54,24844
654.0,28.0,35393.0,29.1,54,24851
9765.0,1699.0,41264.0,10.6,51,24504
4743.0,570.0,38293.0,15.1,51,24517
9206.0,732.0,55652.0,13.8,51,24522
2050.0,117.0,46944.0,22.6,51,24529
3805.0,294.0,49605.0,11.4,51,24549
1489.0,99.0,48833.0,10.8,51,24553
14760.0,1382.0,82174.0,7.5,54,26330
9830.0,604.0,54712.0,4.4,51,24521
1264.0,32.0,58167.0,5.0,51,24526
932.0,94.0,52955.0,12.9,51,24530
1208.0,59.0,34654.0,9.1,51,24534
286.0,0.0,86964.0,0.0,51,24536
80.0,18.0,34904.0,0.0,51,24539
1386.0,52.0,60820.0,4.9,51,24566
2310.0,89.0,52162.0,6.4,51,24571
1290.0,36.0,33500.0,15.1,51,24363
2130.0,184.0,33559.0,19.2,51,24283
7228.0,651.0,49114.0,8.7,51,24319
1853.0,85.0,68482.0,5.4,51,24324
6821.0,422.0,34926.0,21.1,51,24370
1151.0,51.0,42440.0,6.4,51,24597
351.0,0.0,37260.0,23.3,54,24981
3737.0,339.0,51417.0,9.4,54,24963
1075.0,40.0,37604.0,5.3,54,24976
447.0,17.0,36481.0,21.3,54,24977
917.0,0.0,35417.0,28.8,51,24313
1403.0,95.0,50057.0,3.9,51,24314
3903.0,159.0,38947.0,16.4,51,24317
599.0,0.0,50179.0,13.2,51,24318
839.0,70.0,28675.0,0.0,51,24352
548.0,0.0,39492.0,4.5,51,24366
27722.0,2254.0,72593.0,3.2,51,24019
6367.0,338.0,40828.0,14.4,51,24054
12402.0,1008.0,36832.0,14.1,51,24055
1644.0,91.0,54583.0,13.7,51,24069
1827.0,59.0,69598.0,0.0,51,24070
3789.0,186.0,57633.0,21.4,51,24087
2440.0,202.0,46184.0,16.0,51,24089
1948.0,90.0,61435.0,3.8,51,24128
20436.0,2001.0,46585.0,16.8,51,24151
8327.0,656.0,45410.0,9.1,51,24171
10032.0,558.0,64219.0,4.1,51,24211
278.0,18.0,19000.0,31.0,51,24217
11393.0,939.0,50998.0,16.2,51,24219
1309.0,26.0,39597.0,14.4,51,24250
5340.0,403.0,31299.0,18.5,51,24260
5875.0,602.0,36536.0,20.4,51,24263
3860.0,479.0,48707.0,4.2,51,24127
2258.0,144.0,43828.0,1.0,51,24133
518.0,316.0,52218.0,0.0,51,24011
8478.0,1580.0,35915.0,20.5,51,24013
3218.0,129.0,67773.0,7.5,51,24556
2261.0,104.0,58750.0,2.9,51,24520
3126.0,343.0,42688.0,22.9,51,24528
25625.0,1925.0,81991.0,3.4,51,24551
13342.0,1513.0,44707.0,7.7,51,24592
7136.0,572.0,43312.0,6.4,51,24609
2696.0,80.0,56667.0,14.9,51,24380
8756.0,738.0,40422.0,18.6,51,24416
13451.0,973.0,46565.0,14.1,51,24426
604.0,0.0,53833.0,0.0,54,26161
6190.0,470.0,59740.0,5.5,51,24441
728.0,59.0,74978.0,9.6,51,24459
2363.0,48.0,96000.0,2.6,51,24467
3696.0,223.0,97344.0,5.6,51,23696
14685.0,2954.0,46419.0,15.7,51,23707
2016.0,113.0,55198.0,11.3,51,23821
1491.0,109.0,51625.0,8.6,51,23827
1565.0,50.0,88056.0,3.8,51,23830
2216.0,128.0,55563.0,6.2,51,23833
1211.0,12.0,56714.0,21.8,51,23850
13437.0,2182.0,47631.0,6.0,51,23851
4396.0,445.0,54063.0,6.1,51,23890
162.0,22.0,125966.0,0.0,51,23302
704.0,113.0,49886.0,10.6,51,23307
2899.0,348.0,52848.0,4.8,51,23336
12862.0,1334.0,62183.0,6.4,51,23150
34934.0,8104.0,44461.0,17.4,51,23220
27212.0,4630.0,40147.0,15.7,51,23222
6871.0,1698.0,61086.0,6.1,51,23230
18091.0,4775.0,62516.0,8.0,51,23294
1721.0,265.0,44286.0,34.2,51,23301
36212.0,3048.0,79424.0,6.6,51,23321
730.0,118.0,60972.0,16.2,51,23347
158.0,0.0,150000.0,13.3,51,23409
3438.0,383.0,51504.0,4.1,51,23417
1541.0,105.0,48633.0,14.9,51,23960
830.0,24.0,73281.0,13.4,51,23962
409.0,29.0,54563.0,2.6,51,23079
1897.0,44.0,84491.0,1.4,51,23084
568.0,44.0,31615.0,0.0,51,23092
89.0,0.0,106190.0,0.0,51,23108
49.0,0.0,34886.0,0.0,51,23115
1513.0,120.0,71719.0,2.2,51,23038
3257.0,120.0,113654.0,1.7,51,23146
917.0,56.0,41735.0,0.0,51,23022
8502.0,301.0,68224.0,4.4,51,23024
245.0,0.0,44591.0,0.0,51,23091
5525.0,143.0,111782.0,2.7,51,23103
2084.0,255.0,49701.0,7.7,51,23109
385.0,49.0,59458.0,0.0,51,23110
25021.0,1605.0,115669.0,2.0,51,23113
